Datetime,Event_Template,Search_string
2024-09-20 13:12:29,"2024-09-20 13:12:29 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 98 -> Predicted status: Good
",logPsm4Paramters
2024-09-20 13:12:30,"2024-09-20 13:12:30 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-20 13:12:31,"2024-09-20 13:12:31 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:28,"2024-09-24 14:41:28 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 70 -> Predicted status: Good
",logPsm4Paramters
2024-09-24 14:41:29,"2024-09-24 14:41:29 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:30,"2024-09-24 14:41:30 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:32,"2024-09-24 14:41:32 - Log: 000:10:16.158 ERROR TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:35,"2024-09-24 14:41:35 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  EPU Ambient Temperature (Celsius): 24.00 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:38,"2024-09-24 14:41:38 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 70 -> Predicted status: Good
",logPsm4Paramters
2024-09-24 14:41:39,"2024-09-24 14:41:39 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 20 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:40,"2024-09-24 14:41:40 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â UPS Temperature (Celsius): 15 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:42,"2024-09-24 14:41:42 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 50 -> Predicted status: Average
",logPsm4Paramters
2024-09-24 14:41:45,"2024-09-24 14:41:45 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 98 -> Predicted status: Good
",logPsm4Paramters
2024-09-24 14:41:46,"2024-09-24 14:41:46 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 18 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:47,"2024-09-24 14:41:47 - Log: 000:10:16.158 WARNING TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 20 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:48,"2024-09-24 14:41:48 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:50,"2024-09-24 14:41:50 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery charge (percentage): 50 -> Predicted status: Average
",logPsm4Paramters
2024-09-24 14:41:51,"2024-09-24 14:41:51 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:52,"2024-09-24 14:41:52 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters: Â UPS Temperature (Celsius): 15 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:41:54,"2024-09-24 14:41:54 - Log: 000:10:16.158 ERROR TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  EPU Ambient Temperature (Celsius): 85.00 -> Predicted status: Good
",logPsm4Paramters
2024-09-24 14:42:10,"2024-09-24 14:42:10 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 98 -> Predicted status: Good
",logPsm4Paramters
2024-09-24 14:42:11,"2024-09-24 14:42:11 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery Temperature (Celsius): 26 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:42:12,"2024-09-24 14:42:12 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  UPS Temperature (Celsius): 25.9 -> Predicted status: Bad
",logPsm4Paramters
2024-09-24 14:42:16,"2024-09-24 14:42:16 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  EPU Ambient Temperature (Celsius): 24.00 -> Predicted status: Bad
",logPsm4Paramters
2024-09-20 13:11:15,"2024-09-20 13:11:15 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 98 -> Predicted status: Good
",logPsm4Paramters
2024-09-20 13:11:48,"2024-09-20 13:11:48 - Log: 000:10:16.158 INFO TrdPowerManagement::PmuStatusErrorMonitor::logPsm4Paramters:  Battery charge (percentage): 70 -> Predicted status: Good
",logPsm4Paramters
